seq_rt,ran_rt,,,,
0.6963743,0.581705,,,,
0.3826087,0.5398349,,,,
0.5274297,0.5240362,,,,
0.5159486,0.5133672,,,,
0.5800233,0.8347876,,,,
0.355074,0.7829366,,,,
0.4813169,0.5724786,,,,
0.2772508,0.5517157,,,,
0.3020351,0.4617564,,,,
0.2630758,0.8535102,,,,
0.2972822,,,,,
